日期,游戏天数,净值,日涨跌幅,操作类型,交易金额,交易份额,现金余额,持仓份额,基金市值,总资产,当日盈亏,持仓收益,持仓收益率,累计收益率,持仓成本,当前周期总投入,当前周期总卖出,历史总投入,历史总卖出
2005-05-26,30,0.857331,-1.280441,买入,5000.0000,5832.0532,5000.0000,5832.0532,5000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0.857331,5000.0000,0.0000,5000.0000,0.0000
2005-05-27,31,0.849508,-0.912483,卖出,2477.1908,2916.0300,7477.1908,2916.0232,2477.1850,9954.3758,-22.8120,-45.6242,-1.8085,-0.9125,0.865154,5000.0000,2477.1908,5000.0000,2477.1900
2005-05-30,32,0.855612,0.718534,买入,3738.6000,4369.5039,3738.5908,7285.5271,6233.5844,9972.1753,44.4709,-27.8247,-0.4444,-0.3184,0.859431,8738.6000,2477.1908,8738.6000,2477.1900
2005-05-31,33,0.855946,0.039036,买入,934.6500,1091.9497,2803.9408,8377.4769,7170.6678,9974.6086,2.7981,-25.3914,-0.3529,-0.2625,0.858977,9673.2500,2477.1908,9673.2500,2477.1900
2005-06-01,34,0.837532,-2.151304,卖出,2315.4158,2764.5700,5119.3567,5612.9069,4700.9891,9820.3458,-103.3561,-179.6542,-3.6810,-1.8572,0.869539,9673.2500,4792.6067,9673.2500,4792.6100
2005-06-02,35,0.818379,-2.286838,买入,1689.3900,2064.3125,3429.9667,7677.2194,6282.8751,9712.8418,-147.0418,-287.1582,-4.3707,-2.5272,0.855783,11362.6400,4792.6067,11362.6400,4792.6100
2005-06-03,36,0.818033,-0.042279,无操作,0.0000,0.0000,3429.9667,7677.2194,6280.2188,9710.1854,-2.6563,-289.8146,-4.4112,-2.5506,0.855783,11362.6400,4792.6067,11362.6400,4792.6100
2005-06-06,37,0.838997,2.562733,无操作,0.0000,0.0000,3429.9667,7677.2194,6441.1640,9871.1307,160.9452,-128.8693,-1.9615,-1.1341,0.855783,11362.6400,4792.6067,11362.6400,4792.6100
2005-06-07,38,0.837282,-0.204411,无操作,0.0000,0.0000,3429.9667,7677.2194,6427.9976,9857.9642,-13.1664,-142.0358,-2.1619,-1.2500,0.855783,11362.6400,4792.6067,11362.6400,4792.6100
2005-06-08,39,0.905773,8.180159,买入,3429.9667,3786.7839,0.0000,11464.0033,10383.7847,10383.7847,785.1811,383.7847,3.8378,2.5944,0.872296,14792.6067,4792.6067,14792.6100,4792.6100
2005-06-09,40,0.912604,0.754162,卖出,3452.4904,3783.1200,3452.4904,7680.8833,7009.6048,10462.0953,52.4681,462.0953,7.0576,3.1238,0.852442,14792.6067,8245.0971,14792.6100,8245.1000
2005-06-10,41,0.894556,-1.977638,买入,1139.3200,1273.6151,2313.1704,8954.4984,8010.3002,10323.4707,-161.6108,323.4707,4.2081,2.0303,0.858432,15931.9267,8245.0971,15931.9300,8245.1000
2005-06-13,42,0.892959,-0.178524,卖出,2638.6760,2954.9800,4951.8464,5999.5184,5357.3239,10309.1704,-9.5812,309.1704,6.1244,1.9405,0.841426,15931.9267,10883.7731,15931.9300,10883.7700
